P1 X: 11     P1 Y: 29
P53 X: 17     P53 Y: 22
P54 X: 23     P54 Y: 26
P55 X: 14     P55 Y: 20
P56 X: 26     P56 Y: 12
P57 X: 15     P57 Y: 18
P58 X: 13     P58 Y: 25
P59 X: 23     P59 Y: 10
P60 X: 16     P60 Y: 7
P61 X: 29     P61 Y: 9
P62 X: 25     P62 Y: 11
P63 X: 28     P63 Y: 21
P64 X: 16     P64 Y: 17
P65 X: 19     P65 Y: 24
P66 X: 9     P66 Y: 20
P67 X: 6     P67 Y: 8
P68 X: 22     P68 Y: 16
P69 X: 0     P69 Y: 7
P70 X: 14     P70 Y: 22
P71 X: 5     P71 Y: 29
P72 X: 28     P72 Y: 18
P73 X: 2     P73 Y: 28
P74 X: 17     P74 Y: 23
P75 X: 22     P75 Y: 25
P76 X: 34     P76 Y: 24
P77 X: 24     P77 Y: 25
P78 X: 35     P78 Y: 4
P79 X: 25     P79 Y: 1
P80 X: 15     P80 Y: 21
P81 X: 25     P81 Y: 12
P82 X: 19     P82 Y: 20
P83 X: 4     P83 Y: 9
P84 X: 18     P84 Y: 19
P85 X: 3     P85 Y: 25
P86 X: 20     P86 Y: 9
P87 X: 12     P87 Y: 13
P88 X: 6     P88 Y: 18
P89 X: 25     P89 Y: 19
P90 X: 3     P90 Y: 17
P91 X: 3     P91 Y: 6
P92 X: 3     P92 Y: 12
P93 X: 16     P93 Y: 7
P94 X: 22     P94 Y: 2
P95 X: 21     P95 Y: 17
P96 X: 11     P96 Y: 7
P97 X: 12     P97 Y: 3
P98 X: 17     P98 Y: 6
P99 X: 8     P99 Y: 2
P100 X: 3     P100 Y: 8

P1 X: 22     P1 Y: 19
P2 X: 15     P2 Y: 21
P3 X: 4     P3 Y: 29
P4 X: 18     P4 Y: 29
P5 X: 3     P5 Y: 29
P6 X: 6     P6 Y: 30
P7 X: 20     P7 Y: 8
P8 X: 11     P8 Y: 15
P9 X: 24     P9 Y: 4
P10 X: 5     P10 Y: 15
P11 X: 18     P11 Y: 4
P12 X: 21     P12 Y: -2
P13 X: 4     P13 Y: 27
P14 X: 3     P14 Y: 6
P15 X: 19     P15 Y: 19
P16 X: 10     P16 Y: 9
P17 X: 14     P17 Y: 24
P18 X: 4     P18 Y: 18
P19 X: 30     P19 Y: 27
P20 X: 6     P20 Y: 28
P21 X: 5     P21 Y: -2
P22 X: 14     P22 Y: 11
P23 X: 11     P23 Y: 9
P24 X: 8     P24 Y: 28
P25 X: 9     P25 Y: 28
P26 X: 29     P26 Y: -1
P27 X: 27     P27 Y: 17
P28 X: 10     P28 Y: 30
P29 X: 0     P29 Y: 22
P30 X: 19     P30 Y: 21
P31 X: 6     P31 Y: 13
P32 X: 6     P32 Y: 11
P33 X: 28     P33 Y: 28
P34 X: 29     P34 Y: 3
P35 X: 29     P35 Y: 30
P36 X: 13     P36 Y: -5
P37 X: 4     P37 Y: 27
P38 X: 18     P38 Y: 23
P39 X: 23     P39 Y: 18
P40 X: 24     P40 Y: 29
P41 X: 2     P41 Y: 8
P42 X: -4     P42 Y: 14
P43 X: 13     P43 Y: 23
P44 X: 7     P44 Y: 26
P45 X: 16     P45 Y: 25
P46 X: 12     P46 Y: 10
P47 X: 17     P47 Y: 26
P48 X: 25     P48 Y: 16
P49 X: 7     P49 Y: 27
P50 X: 29     P50 Y: -4
P51 X: 14     P51 Y: 1
P52 X: 12     P52 Y: 3
P53 X: 18     P53 Y: 27
P54 X: 8     P54 Y: 26
P55 X: 5     P55 Y: 8
P56 X: 15     P56 Y: 6
P57 X: 22     P57 Y: 9
P58 X: 3     P58 Y: 12
P59 X: 28     P59 Y: 6
P60 X: 8     P60 Y: 23
P61 X: 19     P61 Y: 24
P62 X: 28     P62 Y: 22
P63 X: 17     P63 Y: 5
P64 X: 16     P64 Y: 22
P65 X: 18     P65 Y: 8
P66 X: 28     P66 Y: 3
P67 X: 10     P67 Y: 25
P68 X: 5     P68 Y: 21
P69 X: 25     P69 Y: 12
P70 X: 6     P70 Y: 12
P71 X: 24     P71 Y: 22
P72 X: 15     P72 Y: 1
P73 X: 20     P73 Y: 14
P74 X: 20     P74 Y: 12
P75 X: 7     P75 Y: 6
P76 X: -5     P76 Y: 30
P77 X: 19     P77 Y: 25
P78 X: -6     P78 Y: 30
P79 X: 29     P79 Y: 14
P80 X: 6     P80 Y: 10
P81 X: 29     P81 Y: 10
P82 X: 9     P82 Y: 4
P83 X: 25     P83 Y: 27
P84 X: 15     P84 Y: 5
P85 X: 18     P85 Y: 4
P86 X: 13     P86 Y: 30
P87 X: 19     P87 Y: 24
P88 X: 29     P88 Y: 13
P89 X: 17     P89 Y: 16
P90 X: 14     P90 Y: 16
P91 X: 25     P91 Y: 29
P92 X: 24     P92 Y: 25
P93 X: 18     P93 Y: 11
P94 X: 9     P94 Y: 16
P95 X: 26     P95 Y: 19
P96 X: 15     P96 Y: 21
P97 X: 3     P97 Y: 18
P98 X: 13     P98 Y: 15
P99 X: 7     P99 Y: 15
P100 X: 29     P100 Y: 9

P1 X: 15     P1 Y: 3
P2 X: 26     P2 Y: 17
P3 X: 4     P3 Y: 8
P4 X: 8     P4 Y: 1
P5 X: 20     P5 Y: 8
P6 X: 2     P6 Y: 26
P7 X: 7     P7 Y: 0
P8 X: 29     P8 Y: 28
P9 X: 3     P9 Y: 14
P10 X: 22     P10 Y: 10
P11 X: 14     P11 Y: 6
P12 X: 16     P12 Y: 31
P13 X: 6     P13 Y: 24
P14 X: 14     P14 Y: 19
P15 X: 12     P15 Y: 8
P16 X: 4     P16 Y: 2
P17 X: 11     P17 Y: 10
P18 X: 16     P18 Y: 9
P19 X: 4     P19 Y: 27
P20 X: 3     P20 Y: 26
P21 X: 11     P21 Y: 33
P22 X: 16     P22 Y: 16
P23 X: 27     P23 Y: 25
P24 X: 7     P24 Y: 14
P25 X: 1     P25 Y: 22
P26 X: 2     P26 Y: 32
P27 X: 6     P27 Y: 12
P28 X: 15     P28 Y: 25
P29 X: 9     P29 Y: 7
P30 X: 23     P30 Y: 9
P31 X: 22     P31 Y: 13
P32 X: 23     P32 Y: 15
P33 X: 12     P33 Y: 10
P34 X: 7     P34 Y: 27
P35 X: 5     P35 Y: 26
P36 X: 27     P36 Y: 36
P37 X: 5     P37 Y: 25
P38 X: 26     P38 Y: 27
P39 X: 19     P39 Y: 21
P40 X: 30     P40 Y: 21
P41 X: 12     P41 Y: 24
P42 X: 35     P42 Y: 24
P43 X: 29     P43 Y: 6
P44 X: 20     P44 Y: 6
P45 X: 23     P45 Y: 17
P46 X: 26     P46 Y: 28
P47 X: 21     P47 Y: 28
P48 X: 17     P48 Y: 23
P49 X: 26     P49 Y: 1
P50 X: 7     P50 Y: 34
P51 X: 24     P51 Y: 13
P52 X: 14     P52 Y: 13
P53 X: 6     P53 Y: 29
P54 X: 20     P54 Y: 19
P55 X: 23     P55 Y: 23
P56 X: 5     P56 Y: 23
P57 X: 0     P57 Y: 1
P58 X: 18     P58 Y: 0
P59 X: 20     P59 Y: 21
P60 X: 1     P60 Y: 6
P61 X: 8     P61 Y: 2
P62 X: 30     P62 Y: 4
P63 X: 7     P63 Y: 10
P64 X: 11     P64 Y: 26
P65 X: 4     P65 Y: 7
P66 X: 14     P66 Y: 13
P67 X: 25     P67 Y: 1
P68 X: 11     P68 Y: 1
P69 X: 11     P69 Y: 30
P70 X: 1     P70 Y: 3
P71 X: 18     P71 Y: 14
P72 X: 3     P72 Y: 19
P73 X: 23     P73 Y: 1
P74 X: 2     P74 Y: 12
P75 X: 7     P75 Y: 22
P76 X: 35     P76 Y: 25
P77 X: 15     P77 Y: 16
P78 X: 36     P78 Y: 5
P79 X: 24     P79 Y: 28
P80 X: 26     P80 Y: 18
P81 X: 24     P81 Y: 29
P82 X: 0     P82 Y: 11
P83 X: 15     P83 Y: 4
P84 X: 11     P84 Y: 8
P85 X: 28     P85 Y: 26
P86 X: 7     P86 Y: 10
P87 X: 9     P87 Y: 2
P88 X: 9     P88 Y: 15
P89 X: 10     P89 Y: 8
P90 X: 30     P90 Y: 10
P91 X: 14     P91 Y: 9
P92 X: 16     P92 Y: 3
P93 X: 7     P93 Y: 28
P94 X: 3     P94 Y: 27
P95 X: 30     P95 Y: 4
P96 X: 18     P96 Y: 10
P97 X: 17     P97 Y: 22
P98 X: 16     P98 Y: 25
P99 X: 21     P99 Y: 29
P100 X: 6     P100 Y: 25

P1 X: 9     P1 Y: 24
P2 X: 8     P2 Y: 14
P3 X: 11     P3 Y: 14
P4 X: 1     P4 Y: 26
P5 X: 24     P5 Y: 12
P6 X: 9     P6 Y: 23
P7 X: 27     P7 Y: 7
P8 X: 14     P8 Y: 12
P9 X: 17     P9 Y: 23
P10 X: 12     P10 Y: 6
P11 X: 11     P11 Y: 15
P12 X: 12     P12 Y: 1
P13 X: 15     P13 Y: 22
P14 X: 30     P14 Y: 29
P15 X: 6     P15 Y: 26
P16 X: 17     P16 Y: 12
P17 X: 25     P17 Y: 15
P18 X: 27     P18 Y: 1
P19 X: 21     P19 Y: 22
P20 X: 11     P20 Y: 21
P21 X: 26     P21 Y: -3
P22 X: 15     P22 Y: 18
P23 X: 18     P23 Y: 20
P24 X: 21     P24 Y: 3
P25 X: 6     P25 Y: 17
P26 X: 24     P26 Y: -2
P27 X: 20     P27 Y: 8
P28 X: 21     P28 Y: 21
P29 X: 17     P29 Y: 25
P30 X: 26     P30 Y: 22
P31 X: 11     P31 Y: 22
P32 X: 9     P32 Y: 20
P33 X: 7     P33 Y: 11
P34 X: 14     P34 Y: 4
P35 X: 18     P35 Y: 23
P36 X: 8     P36 Y: -6
P37 X: 13     P37 Y: 24
P38 X: 11     P38 Y: 30
P39 X: 2     P39 Y: 23
P40 X: 25     P40 Y: 14
P41 X: 21     P41 Y: 21
P42 X: -5     P42 Y: 3
P43 X: 12     P43 Y: 26
P44 X: 14     P44 Y: 13
P45 X: 3     P45 Y: 10
P46 X: 5     P46 Y: 15
P47 X: 0     P47 Y: 29
P48 X: 10     P48 Y: 3
P49 X: 16     P49 Y: 28
P50 X: 16     P50 Y: -3
P51 X: 3     P51 Y: 24
P52 X: 21     P52 Y: 28
P53 X: 29     P53 Y: 26
P54 X: 13     P54 Y: 13
P55 X: 20     P55 Y: 7
P56 X: 4     P56 Y: 21
P57 X: 21     P57 Y: 6
P58 X: 28     P58 Y: 11
P59 X: 13     P59 Y: 25
P60 X: 5     P60 Y: 26
P61 X: 2     P61 Y: 27
P62 X: 29     P62 Y: 29
P63 X: 2     P63 Y: 24
P64 X: 23     P64 Y: 29
P65 X: 25     P65 Y: 21
P66 X: 3     P66 Y: 28
P67 X: 21     P67 Y: 26
P68 X: 26     P68 Y: 22
P69 X: 12     P69 Y: 13
P70 X: 7     P70 Y: 5
P71 X: 1     P71 Y: 7
P72 X: 8     P72 Y: 24
P73 X: 7     P73 Y: 11
P74 X: 23     P74 Y: 25
P75 X: 20     P75 Y: 11
P76 X: -4     P76 Y: 21
P77 X: 12     P77 Y: 8
P78 X: -5     P78 Y: 19
P79 X: 20     P79 Y: 19
P80 X: 15     P80 Y: 15
P81 X: 20     P81 Y: 9
P82 X: 8     P82 Y: 25
P83 X: 4     P83 Y: 18
P84 X: 24     P84 Y: 20
P85 X: 15     P85 Y: 5
P86 X: 2     P86 Y: 9
P87 X: 24     P87 Y: 19
P88 X: 12     P88 Y: 18
P89 X: 4     P89 Y: 29
P90 X: 15     P90 Y: 25
P91 X: 6     P91 Y: 12
P92 X: 3     P92 Y: 18
P93 X: 29     P93 Y: 16
P94 X: 14     P94 Y: 11
P95 X: 27     P95 Y: 26
P96 X: 20     P96 Y: 20
P97 X: 30     P97 Y: 3
P98 X: 16     P98 Y: 6
P99 X: 26     P99 Y: 14
P100 X: 18     P100 Y: 20

P1 X: 4     P1 Y: 16
P2 X: 9     P2 Y: 12
P3 X: 17     P3 Y: 25
P4 X: 9     P4 Y: 8
P5 X: 9     P5 Y: 29
P6 X: 15     P6 Y: 21
P7 X: 2     P7 Y: 13
P8 X: 2     P8 Y: 3
P9 X: 24     P9 Y: 29
P10 X: 13     P10 Y: 3
P11 X: 9     P11 Y: 23
P12 X: 9     P12 Y: 26
P13 X: 23     P13 Y: 21
P14 X: 15     P14 Y: 18
P15 X: 1     P15 Y: 1
P16 X: 29     P16 Y: 21
P17 X: 2     P17 Y: 21
P18 X: 23     P18 Y: 6
P19 X: 15     P19 Y: 18
P20 X: 18     P20 Y: 17
P21 X: 20     P21 Y: 32
P22 X: 13     P22 Y: 7
P23 X: 4     P23 Y: 6
P24 X: 26     P24 Y: 19
P25 X: 12     P25 Y: 13
P26 X: 11     P26 Y: 31
P27 X: 15     P27 Y: 5
P28 X: 2     P28 Y: 18
P29 X: 24     P29 Y: 2
P30 X: 28     P30 Y: 6
P31 X: 15     P31 Y: 2
P32 X: 18     P32 Y: 4
P33 X: 25     P33 Y: 29
P34 X: 26     P34 Y: 24
P35 X: 20     P35 Y: 21
P36 X: 10     P36 Y: 35
P37 X: 20     P37 Y: 24
P38 X: 3     P38 Y: 28
P39 X: 14     P39 Y: 24
P40 X: 21     P40 Y: 8
P41 X: 29     P41 Y: 7
P42 X: 34     P42 Y: 17
P43 X: 4     P43 Y: 1
P44 X: 11     P44 Y: 29
P45 X: 16     P45 Y: 4
P46 X: 15     P46 Y: 1
P47 X: 20     P47 Y: 29
P48 X: 4     P48 Y: 16
P49 X: 1     P49 Y: 6
P50 X: 22     P50 Y: 31
P51 X: 17     P51 Y: 26
P52 X: 3     P52 Y: 18
P53 X: 9     P53 Y: 24
P54 X: 13     P54 Y: 8
P55 X: 4     P55 Y: 22
P56 X: 12     P56 Y: 6
P57 X: 19     P57 Y: 12
P58 X: 15     P58 Y: 21
P59 X: 7     P59 Y: 12
P60 X: 10     P60 Y: 1
P61 X: 11     P61 Y: 9
P62 X: 29     P62 Y: 7
P63 X: 10     P63 Y: 23
P64 X: 2     P64 Y: 29
P65 X: 15     P65 Y: 26
P66 X: 19     P66 Y: 18
P67 X: 8     P67 Y: 10
P68 X: 20     P68 Y: 18
P69 X: 26     P69 Y: 3
P70 X: 12     P70 Y: 12
P71 X: 15     P71 Y: 1
P72 X: 18     P72 Y: 8
P73 X: 8     P73 Y: 22
P74 X: 17     P74 Y: 3
P75 X: 28     P75 Y: 15
P76 X: 32     P76 Y: 18
P77 X: 10     P77 Y: 1
P78 X: 33     P78 Y: 18
P79 X: 17     P79 Y: 7
P80 X: 3     P80 Y: 11
P81 X: 17     P81 Y: 10
P82 X: 15     P82 Y: 22
P83 X: 22     P83 Y: 21
P84 X: 0     P84 Y: 29
P85 X: 3     P85 Y: 23
P86 X: 2     P86 Y: 27
P87 X: 2     P87 Y: 21
P88 X: 28     P88 Y: 8
P89 X: 1     P89 Y: 7
P90 X: 1     P90 Y: 1
P91 X: 25     P91 Y: 28
P92 X: 21     P92 Y: 22
P93 X: 6     P93 Y: 1
P94 X: 24     P94 Y: 4
P95 X: 25     P95 Y: 13
P96 X: 21     P96 Y: 9
P97 X: 18     P97 Y: 15
P98 X: 11     P98 Y: 12
P99 X: 14     P99 Y: 0
P100 X: 19     P100 Y: 6

P1 X: 0     P1 Y: 3
P2 X: 25     P2 Y: 11
P3 X: 22     P3 Y: 5
P4 X: 16     P4 Y: 17
P5 X: 5     P5 Y: 11
P6 X: 20     P6 Y: 20
P7 X: 22     P7 Y: 18
P8 X: 17     P8 Y: 17
P9 X: 6     P9 Y: 22
P10 X: 23     P10 Y: 1
P11 X: 8     P11 Y: 30
P12 X: 7     P12 Y: 8
P13 X: 30     P13 Y: 21
P14 X: 1     P14 Y: 8
P15 X: 3     P15 Y: 23
P16 X: 20     P16 Y: 29
P17 X: 20     P17 Y: 2
P18 X: 14     P18 Y: 12
P19 X: 8     P19 Y: 15
P20 X: 24     P20 Y: 14
P21 X: 7     P21 Y: 0
P22 X: 20     P22 Y: 29
P23 X: 9     P23 Y: 7
P24 X: 14     P24 Y: 26
P25 X: 17     P25 Y: 10
P26 X: 13     P26 Y: 1
P27 X: 9     P27 Y: 3
P28 X: 24     P28 Y: 16
P29 X: 30     P29 Y: 28
P30 X: 29     P30 Y: 27
P31 X: 20     P31 Y: 25
P32 X: 16     P32 Y: 27
P33 X: 18     P33 Y: 10
P34 X: 7     P34 Y: 9
P35 X: 1     P35 Y: 20
P36 X: 27     P36 Y: -3
P37 X: 26     P37 Y: 24
P38 X: 16     P38 Y: 27
P39 X: 29     P39 Y: 24
P40 X: 18     P40 Y: 3
P41 X: 24     P41 Y: 6
P42 X: -2     P42 Y: 24
P43 X: 19     P43 Y: 27
P44 X: 25     P44 Y: 12
P45 X: 26     P45 Y: 1
P46 X: 26     P46 Y: 16
P47 X: 21     P47 Y: 29
P48 X: 1     P48 Y: 26
P49 X: 17     P49 Y: 19
P50 X: 1     P50 Y: 2
P51 X: 24     P51 Y: 17
P52 X: 26     P52 Y: 5
P53 X: 12     P53 Y: 23
P54 X: 22     P54 Y: 4
P55 X: 11     P55 Y: 10
P56 X: 19     P56 Y: 8
P57 X: 0     P57 Y: 17
P58 X: 3     P58 Y: 30
P59 X: 2     P59 Y: 0
P60 X: 14     P60 Y: 27
P61 X: 19     P61 Y: 14
P62 X: 29     P62 Y: 16
P63 X: 17     P63 Y: 11
P64 X: 26     P64 Y: 28
P65 X: 4     P65 Y: 14
P66 X: 26     P66 Y: 5
P67 X: 4     P67 Y: 13
P68 X: 7     P68 Y: 1
P69 X: 5     P69 Y: 18
P70 X: 16     P70 Y: 18
P71 X: 30     P71 Y: 4
P72 X: 27     P72 Y: 7
P73 X: 22     P73 Y: 28
P74 X: 2     P74 Y: 18
P75 X: 17     P75 Y: 20
P76 X: 1     P76 Y: 16
P77 X: 9     P77 Y: 5
P78 X: 0     P78 Y: 4
P79 X: 15     P79 Y: 4
P80 X: 20     P80 Y: 24
P81 X: 15     P81 Y: 28
P82 X: 21     P82 Y: 10
P83 X: 21     P83 Y: 1
P84 X: 23     P84 Y: 19
P85 X: 8     P85 Y: 10
P86 X: 5     P86 Y: 16
P87 X: 27     P87 Y: 2
P88 X: 9     P88 Y: 27
P89 X: 5     P89 Y: 14
P90 X: 12     P90 Y: 22
P91 X: 17     P91 Y: 9
P92 X: 22     P92 Y: 3
P93 X: 16     P93 Y: 13
P94 X: 27     P94 Y: 18
P95 X: 24     P95 Y: 7
P96 X: 21     P96 Y: 23
P97 X: 7     P97 Y: 28
P98 X: 23     P98 Y: 29
P99 X: 3     P99 Y: 13
P100 X: 3     P100 Y: 7

P1 X: 3     P1 Y: 21
P2 X: 20     P2 Y: 11
P3 X: 26     P3 Y: 14
P4 X: 22     P4 Y: 19
P5 X: 18     P5 Y: 6
P6 X: 24     P6 Y: 20
P7 X: 15     P7 Y: 22
P8 X: 29     P8 Y: 30
P9 X: 11     P9 Y: 16
P10 X: 0     P10 Y: 0
P11 X: 8     P11 Y: 24
P12 X: 6     P12 Y: 17
P13 X: 24     P13 Y: 21
P14 X: 12     P14 Y: 1
P15 X: 6     P15 Y: 14
P16 X: 10     P16 Y: 24
P17 X: 19     P17 Y: 24
P18 X: 6     P18 Y: 17
P19 X: 30     P19 Y: 13
P20 X: 29     P20 Y: 12
P21 X: 5     P21 Y: 27
P22 X: 6     P22 Y: 6
